session_id,job_ids,actions
0,"[305, 299, 300, 290, 282, 274, 264, 261]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
1,"[84, 257, 252, 250]","['view', 'view', 'view', 'view']"
2,"[241, 237, 221, 309, 310, 306, 301]","['view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply']"
3,"[303, 297, 296, 298, 294, 295, 292, 293]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
4,"[171, 291, 289, 166, 288, 155]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
5,"[286, 144, 284, 285]","['apply', 'apply', 'apply', 'apply']"
6,"[131, 283, 281, 279]","['apply', 'apply', 'apply', 'apply']"
7,"[277, 280, 275]","['apply', 'apply', 'apply']"
8,"[276, 272, 273, 270, 269, 230]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
9,"[267, 268, 29, 103, 262, 263, 88, 260, 258]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
10,"[259, 255, 256, 24, 254, 251]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
11,"[249, 247, 248, 245, 246, 242, 244]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
12,"[239, 236, 223]","['apply', 'apply', 'apply']"
13,"[207, 206, 149, 132, 50, 109, 106, 81]","['apply', 'apply', 'view', 'apply', 'view', 'view', 'apply', 'apply']"
14,"[266, 412, 385, 164]","['view', 'view', 'view', 'apply']"
15,"[163, 362, 360, 361, 359, 357, 358, 354, 352, 348]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
16,"[346, 344, 342, 341, 94, 338, 339, 335, 336, 333, 192, 363]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply']"
17,"[364, 355, 350, 353, 351, 347, 349]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
18,"[345, 340, 343, 330, 331, 329, 185, 16]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view']"
19,"[659, 658, 656, 528, 284]","['view', 'view', 'view', 'view', 'view']"
20,"[214, 655, 286, 478, 458, 449, 443, 243, 234, 182, 657]","['view', 'view', 'apply', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
21,"[188, 4945, 736, 3085, 5367, 5561, 3379, 1532]","['view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply']"
22,"[2766, 2365, 2609, 870, 1008]","['apply', 'apply', 'apply', 'apply', 'view']"
23,"[3204, 2099, 1724, 216]","['apply', 'apply', 'apply', 'apply']"
24,"[578, 1385, 795]","['apply', 'apply', 'apply']"
25,"[290, 4126, 2106, 4161, 200, 923]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
26,"[586, 680, 2635, 2891, 1795, 1790, 935, 2643, 2520, 266, 382, 326, 278]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
27,"[2630, 228, 1251, 102]","['view', 'apply', 'view', 'apply']"
28,"[321, 319, 318, 316, 314, 315, 311, 307, 308, 304, 302, 320, 322, 312, 313]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'apply']"
29,"[220, 111, 42]","['view', 'view', 'view']"
30,"[3913, 958, 871, 2864, 1790, 765, 2891, 5452, 1267, 5773, 2156, 2495]","['view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'view']"
31,"[4627, 260, 654, 876]","['apply', 'view', 'view', 'view']"
32,"[494, 770, 771, 755, 547, 459, 420, 43]","['view', 'apply', 'apply', 'view', 'apply', 'view', 'view', 'apply']"
33,"[6435, 6434, 4973, 2206, 6318, 5674, 1115, 519, 1114, 606, 5988, 2417, 2818, 920]","['view', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'apply', 'apply', 'apply', 'apply', 'view', 'apply', 'apply']"
34,"[1120, 938, 368]","['view', 'view', 'view']"
35,"[516, 2943, 2055, 2279, 919, 15]","['view', 'view', 'view', 'view', 'apply', 'view']"
36,"[4868, 4869, 4867, 2755]","['view', 'view', 'view', 'view']"
37,"[1678, 1668, 630, 4866, 603, 1997]","['view', 'view', 'view', 'view', 'view', 'view']"
