session_id,job_id,action
0,84,view
1,241,view
2,303,apply
3,171,apply
4,286,apply
5,131,apply
6,277,apply
7,276,apply
8,267,apply
9,259,apply
10,249,apply
11,239,apply
12,207,apply
13,0,view
14,2,view
15,346,view
16,364,apply
17,345,apply
18,3,view
19,214,view
20,4,view
21,3727,view
22,3204,apply
23,578,apply
24,290,apply
25,586,apply
26,2630,view
27,146,view
28,220,view
29,10,view
30,4627,apply
31,12,view
32,13,view
33,1120,view
34,516,view
35,1460,view
36,1678,view
37,1963,view
38,486,view
39,1643,view
40,970,view
41,2530,view
42,17,view
43,823,view
44,204,apply
45,69,apply
46,1008,view
47,5181,apply
48,4880,apply
49,1852,apply
50,2805,apply
51,716,apply
52,1465,view
53,22,view
54,38,apply
55,1243,apply
56,263,apply
57,24,apply
58,990,view
59,39,apply
60,268,view
61,3461,apply
62,2975,apply
63,56,view
64,1460,view
65,45,view
66,531,view
67,518,view
68,504,view
69,142,apply
70,210,apply
71,48,view
72,971,apply
73,3637,view
74,1343,view
75,4331,view
76,2420,view
77,479,view
78,332,view
79,49,view
80,52,apply
81,5223,apply
82,1016,apply
83,48,view
84,66,view
85,962,apply
86,251,view
87,79,apply
88,4196,view
89,2402,view
90,925,view
91,86,view
92,3736,view
93,1091,view
94,84,view
95,114,apply
96,123,view
97,134,apply
98,1413,view
99,2776,apply
100,3654,view
101,518,view
102,1474,apply
103,1483,view
104,712,view
105,63,view
106,174,view
107,142,view
108,2325,view
109,746,view
110,2610,view
111,1486,view
112,1333,view
113,953,view
114,911,view
115,652,view
116,387,view
117,2944,view
118,1195,view
119,4517,apply
120,1340,apply
121,1240,view
122,212,view
123,1906,view
124,381,apply
125,229,view
126,4845,apply
127,933,view
128,238,apply
129,2651,view
130,1795,apply
131,240,apply
132,505,view
133,80,apply
134,1544,view
135,1887,view
136,646,view
137,249,view
138,711,view
139,929,apply
140,328,view
141,167,view
142,216,view
143,2517,view
144,1510,view
145,262,view
146,2499,view
147,144,view
148,681,view
149,191,view
150,3250,view
151,373,apply
152,519,apply
153,1037,apply
154,3017,apply
155,317,view
156,6712,view
157,7289,apply
158,6827,apply
159,582,view
160,7250,apply
161,6916,view
162,911,view
163,1491,apply
164,551,view
165,334,view
166,366,apply
167,1127,apply
168,214,apply
169,453,view
170,386,view
171,441,apply
172,1505,apply
173,465,view
174,389,apply
175,2692,view
176,1925,view
177,399,view
178,43,apply
179,123,apply
180,406,apply
181,1303,view
182,407,view
183,1416,apply
184,934,view
185,514,view
186,367,apply
187,421,view
188,24,view
189,332,view
190,424,apply
191,132,apply
192,356,view
193,445,apply
194,2516,view
195,842,view
196,533,apply
197,131,apply
198,1409,apply
199,162,apply
200,1263,view
201,418,view
202,177,view
203,125,apply
204,58,view
205,302,view
206,1634,view
207,457,view
208,10,apply
209,6132,view
210,7212,apply
211,644,apply
212,236,view
213,249,view
214,454,view
215,231,apply
216,41,view
217,1840,view
218,467,view
219,2617,view
220,2508,view
221,307,view
222,3132,view
223,2277,apply
224,1670,apply
225,1667,apply
226,1453,apply
227,311,apply
228,2738,apply
229,1760,apply
230,1598,apply
231,412,apply
232,484,apply
233,1438,view
234,5503,apply
235,181,apply
236,5586,apply
237,447,apply
238,336,apply
239,3306,apply
240,77,view
241,46,view
242,193,view
243,487,apply
244,2093,view
245,80,view
246,1408,view
247,246,view
248,850,view
249,448,apply
250,4199,view
251,319,view
252,5499,view
253,4399,view
254,1544,view
255,3209,view
256,5654,apply
257,1970,apply
258,4454,apply
259,246,apply
260,1532,view
261,644,view
262,1764,apply
263,994,apply
264,239,view
265,89,apply
266,503,view
267,525,apply
268,632,apply
269,539,view
270,537,apply
271,2041,view
272,1028,view
273,2975,view
274,1,view
275,590,apply
276,571,apply
277,564,apply
278,559,apply
279,551,apply
280,163,view
281,718,view
282,593,view
283,749,view
284,1373,view
285,1213,view
286,490,view
287,685,view
288,624,apply
289,601,apply
290,296,view
291,1387,view
292,2301,view
293,65,view
